Resource,Scientific cluster or domain,Software quality dimensions,Resource type,Notes,Title,URL,Description
ASTERICS Programming School,Particle physics & astronomy,"Maintainability, Interaction capability, Functional suitability","training school, programme or event",,ASTERICS Programming School,https://github.com/Asterics2020-Obelics/School2019,Summer school for advanced software programming for astrophysics and astroparticle physics
ESCAPE Data Science School,Particle physics & astronomy,"FAIRness, Functional suitability","training school, programme or event",,ESCAPE Data Science School,https://escape2020.github.io/school2021/,
"Gray Scott School
(Heterogeneous Hardware Programming)",Particle physics & astronomy,"Performance efficiency, Functional suitability","training school, programme or event",,"Gray Scott School
(Heterogeneous Hardware Programming)",https://cc-fr.eu/gray-scott-school-2025/,"The school will cover the optimisation of computations on different types of hardware (CPU, GPU), presenting their respective characteristics, architectures and bottlenecks. "
PUMPS+AI Summer School,Particle physics & astronomy,"Performance efficiency, Functional suitability","training school, programme or event",,PUMPS+AI Summer School,https://pumps.bsc.es/2024/about-pumps-ai,
"BSC Training Course: introduction
to CUDA Programming",Particle physics & astronomy,"Performance efficiency, Functional suitability","training school, programme or event",,"BSC Training Course: introduction
to CUDA Programming",https://events.prace-ri.eu/event/1534/,"The aim of this course is to provide students with knowledge and hands-on experience in developing applications software for processors with massively parallel computing resources. In general, we refer to a processor as massively parallel if it has the ability to complete more than 64 arithmetic operations per clock cycle"
CERN  Schools on Computing,Particle physics & astronomy,"Performance efficiency, Functional suitability","training school, programme or event",,CERN  Schools on Computing,,"The CERN School of Computing (CSC) organises a series of international schools, covering various aspects of scientific computing for high-energy physics and other data-intensive sciences. "
Efficient Scientific Computing School (ESC),Particle physics & astronomy,"Performance efficiency, Functional suitability","training school, programme or event",,Efficient Scientific Computing School (ESC),https://esc.infn.it/,"Architectures, tools and methodologies for developing efficient large scale scientific computing applications"
LifeWatch ERIC Summer Schools,Environmental sciences,"FAIRness, Compatibility","training school, programme or event",,LifeWatch ERIC Summer Schools,https://training.lifewatch.eu/biodiversity-ecampus/resources/?category=14,
BSC Training Course: Introduction to OpenACC,General,"Performance efficiency, Functional suitability","training school, programme or event",,BSC Training Course: Introduction to OpenACC,https://www.bsc.es/education/training/bsc-training/bsc-training-course-introduction-openacc,"The target audiences of the course are students who want to develop exciting applications for these processors, as well as those who want to develop programming tools and future implementations for these processors."
