name,url,description,learningResourceType,about,keywords,license,creativeWorkStatus,identifier,version,author,contributor,audience,competencyRequired,educationalLevel,teaches,dateCreated,dateModified,datePublished,provider,mentions
Intermediate Research Software Development (Python),https://carpentries-incubator.github.io/python-intermediate-development/,"A core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language.",,,"programming language, python, intermediate, software engineering, testing, debugging, version control, continuous integration, packaging code, releasing code, integrated development environment, IDE, virtual environment, git, github, good practices, action, CI/CD, automation, reproducible environment",,,,,,,,,,,,,,,
"The Turing
Way’s “Guide for
Reproducible Research”, part of the The Turing Way: A handbook
for reproducible, ethical and collaborative research",https://the-turing-way.netlify.app/reproducible-research/reproducible-research,"This guide covers topics related to skills, tools and best practices for research reproducibility.",,,"version control, git, licensing, reproducible environments, documentation, quality, testing, continuous integration, static code analysis",,,,,,,,,,,,,,,
Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,https://coderefinery.github.io/testing/,"This lesson will talk about the places it’s useful for research code, and how easy it can be. We will discuss why testing often needs to be part of the software development cycle and how such a cycle can be implemented. We will see how automated testing works and practice designing and writing tests.",,,"testing, continuous integration, automation, python",,,,,,,,,,,,,,,
Make your code more robust,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/robust-programming,Tools and methodologies to write code that is easier to understand and maintain.,,,"readable code, testing, documentation, continuous integration",,,,,,,,,,,,,,,
GitLab and GitLab CI/CD,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/gitlab-and-gitlab-ci-cd/-/tree/main?ref_type=heads,A course designed to provide you with a comprehensive understanding of GitLab and GitLab CI/CD,,,"task automation, gitlab, CI/CD, continuous integration",,,,,,,,,,,,,,,
