Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URL,Description,Keywords,Scientific Topics,Resource type(s),Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Intermediate Research Software Development (Python),General,,"Flexibility, Maintainability, Sustainability, FAIRness, Reliability","individual training resource (course, handbook, article, guide, tutorial)","DG: Pages where RSQKit should be linked: reproducible_software_environments, using_version_control, testing_software, ci_cd, task_automation_github_actions, releasing_software",Intermediate Research Software Development (Python),https://carpentries-incubator.github.io/python-intermediate-development/,"A core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language.","programming language, python, intermediate, software engineering, testing, debugging, version control, continuous integration, packaging code, releasing code, integrated development environment, IDE, virtual environment, git, github, good practices, action, CI/CD, automation, reproducible environment",,,,,,,,,,,,,,,,,
"The Turing
Way’s “Guide for
Reproducible Research”, part of the The Turing Way: A handbook
for reproducible, ethical and collaborative research",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,"The Turing
Way’s “Guide for
Reproducible Research”, part of the The Turing Way: A handbook
for reproducible, ethical and collaborative research",https://the-turing-way.netlify.app/reproducible-research/reproducible-research,"This guide covers topics related to skills, tools and best practices for research reproducibility.","version control, git, licensing, reproducible environments, documentation, quality, testing, continuous integration, static code analysis",,,,,,,,,,,,,,,,,
Python Testing and Continuous Integration,General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Python Testing and Continuous Integration,https://carpentries-incubator.github.io/python-testing/,"In this lesson we use a Python library called pytest. Basic understanding of Python variables and functions are a necessary prerequisite. Some previous experience with the shell is expected, but isn’t mandatory.","python, pytest, testing, automation, continuous integration, CI/CD",,,,,,,,,,,,,,,,,
Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,General,,"Functional suitability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,https://coderefinery.github.io/testing/,"This lesson will talk about the places it’s useful for research code, and how easy it can be. We will discuss why testing often needs to be part of the software development cycle and how such a cycle can be implemented. We will see how automated testing works and practice designing and writing tests.","testing, continuous integration, automation, python",,,,,,,,,,,,,,,,,
Make your code more robust,"Particle physics & astronomy, General",,"Reliability, Maintainability, Sustainability, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,Make your code more robust,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/robust-programming,Tools and methodologies to write code that is easier to understand and maintain.,"readable code, testing, documentation, continuous integration",,,,,,,,,,,,,,,,,
